model,sweep_param,sweep_value,skew_RMSE
stan_collapsed,Q,4,0
stan_uncollapsed,Q,4,0.0969029643642054
stan_collapsed_variationalbayes_meanfield,Q,4,0.0767942164509095
mongrel_cholesky,Q,4,0.0785652957040449
mongrel_cholesky_MAP,Q,4,0.0785652957040449
conjugate_linear_model,Q,4,0.0819734312655123
stan_uncollapsed,Q,4,0.0777511034472615
stan_collapsed_variationalbayes_meanfield,Q,4,0.0817277261993305
mongrel_cholesky,Q,4,0.0735371195901921
mongrel_cholesky_MAP,Q,4,0.0735371195901921
conjugate_linear_model,Q,4,0.0879237577436825
stan_uncollapsed,Q,4,0.0752282510986282
stan_collapsed_variationalbayes_meanfield,Q,4,0.0877189995255806
mongrel_cholesky,Q,4,0.0905128636098763
mongrel_cholesky_MAP,Q,4,0.0905128636098763
conjugate_linear_model,Q,4,0.0898107336695563
stan_collapsed,Q,10,0
stan_uncollapsed,Q,10,0.0944058467772464
stan_collapsed_variationalbayes_meanfield,Q,10,0.0892866108582002
mongrel_cholesky,Q,10,0.0871372409782512
mongrel_cholesky_MAP,Q,10,0.0871372409782512
conjugate_linear_model,Q,10,0.0879657778658279
stan_uncollapsed,Q,10,0.114046210308951
stan_collapsed_variationalbayes_meanfield,Q,10,0.117049060989448
mongrel_cholesky,Q,10,0.111686464375479
mongrel_cholesky_MAP,Q,10,0.111686464375479
conjugate_linear_model,Q,10,0.110826092025091
stan_uncollapsed,Q,10,0.0923723184606506
stan_collapsed_variationalbayes_meanfield,Q,10,0.0886038290973796
mongrel_cholesky,Q,10,0.0842992832960764
mongrel_cholesky_MAP,Q,10,0.0842992832960764
conjugate_linear_model,Q,10,0.0871242475245012
stan_collapsed,Q,20,0
stan_uncollapsed,Q,20,0.0899557097375949
stan_collapsed_variationalbayes_meanfield,Q,20,0.0954441746856805
mongrel_cholesky,Q,20,0.0933569441595394
mongrel_cholesky_MAP,Q,20,0.0933569441595394
conjugate_linear_model,Q,20,0.102466697701419
stan_uncollapsed,Q,20,0.0866957559441947
stan_collapsed_variationalbayes_meanfield,Q,20,0.0900545210554886
mongrel_cholesky,Q,20,0.0897976929781149
mongrel_cholesky_MAP,Q,20,0.0897976929781149
conjugate_linear_model,Q,20,0.0937557956525913
stan_uncollapsed,Q,20,0.091561119018136
stan_collapsed_variationalbayes_meanfield,Q,20,0.0912546968926457
mongrel_cholesky,Q,20,0.0844455460319958
mongrel_cholesky_MAP,Q,20,0.0844455460319958
conjugate_linear_model,Q,20,0.0887382216773101
stan_collapsed,Q,50,0
stan_uncollapsed,Q,50,0.121152248168839
stan_collapsed_variationalbayes_meanfield,Q,50,0.111841803145239
mongrel_cholesky,Q,50,0.107964509001971
mongrel_cholesky_MAP,Q,50,0.107964509001971
conjugate_linear_model,Q,50,0.109834189283222
stan_uncollapsed,Q,50,0.12759165483553
stan_collapsed_variationalbayes_meanfield,Q,50,0.102957598224487
mongrel_cholesky,Q,50,0.100559482577693
mongrel_cholesky_MAP,Q,50,0.100559482577693
conjugate_linear_model,Q,50,0.106090166658232
stan_uncollapsed,Q,50,0.122495696382981
stan_collapsed_variationalbayes_meanfield,Q,50,0.103341279355701
mongrel_cholesky,Q,50,0.129412587676438
mongrel_cholesky_MAP,Q,50,0.129412587676438
conjugate_linear_model,Q,50,0.105117832117182
stan_collapsed,Q,75,0
stan_uncollapsed,Q,75,0.195226015319508
stan_collapsed_variationalbayes_meanfield,Q,75,0.11241283982071
mongrel_cholesky,Q,75,0.105875302200862
mongrel_cholesky_MAP,Q,75,0.105875302200862
conjugate_linear_model,Q,75,0.115605278368442
stan_uncollapsed,Q,75,0.196152277674407
stan_collapsed_variationalbayes_meanfield,Q,75,0.107465184523196
mongrel_cholesky,Q,75,0.104874381490286
mongrel_cholesky_MAP,Q,75,0.104874381490286
conjugate_linear_model,Q,75,0.109236598388069
stan_uncollapsed,Q,75,0.190750411341072
stan_collapsed_variationalbayes_meanfield,Q,75,0.103959042118329
mongrel_cholesky,Q,75,0.10025322755295
mongrel_cholesky_MAP,Q,75,0.10025322755295
conjugate_linear_model,Q,75,0.105599738973905
stan_collapsed,Q,100,0
stan_uncollapsed,Q,100,0.194953445657344
stan_collapsed_variationalbayes_meanfield,Q,100,0.099164036226258
mongrel_cholesky,Q,100,0.0951962000214206
mongrel_cholesky_MAP,Q,100,0.0951962000214206
conjugate_linear_model,Q,100,0.102316239162828
stan_uncollapsed,Q,100,0.245442470790422
stan_collapsed_variationalbayes_meanfield,Q,100,0.106647862583129
mongrel_cholesky,Q,100,0.0988602796107866
mongrel_cholesky_MAP,Q,100,0.0988602796107866
conjugate_linear_model,Q,100,0.104602949518231
stan_uncollapsed,Q,100,0.232164255066263
stan_collapsed_variationalbayes_meanfield,Q,100,0.102825843570969
mongrel_cholesky,Q,100,0.0977502582339139
mongrel_cholesky_MAP,Q,100,0.0977502582339139
conjugate_linear_model,Q,100,0.101329987338064
stan_collapsed,Q,250,0
stan_uncollapsed,Q,250,0.261070196932782
stan_collapsed_variationalbayes_meanfield,Q,250,0.0989315770902214
mongrel_cholesky,Q,250,0.0957526742975688
mongrel_cholesky_MAP,Q,250,0.0957526742975688
conjugate_linear_model,Q,250,0.100878392345856
stan_uncollapsed,Q,250,0.263108547933835
stan_collapsed_variationalbayes_meanfield,Q,250,0.0961485577321999
mongrel_cholesky,Q,250,0.306539761266596
mongrel_cholesky_MAP,Q,250,0.306539761266596
conjugate_linear_model,Q,250,0.0983427215187893
stan_uncollapsed,Q,250,0.238049295968161
stan_collapsed_variationalbayes_meanfield,Q,250,0.0923932747607637
mongrel_cholesky,Q,250,0.111721425605915
mongrel_cholesky_MAP,Q,250,0.111721425605915
conjugate_linear_model,Q,250,0.0938693259180672
stan_collapsed,Q,500,0
stan_uncollapsed,Q,500,0.261385324468591
stan_collapsed_variationalbayes_meanfield,Q,500,0.0946265762905511
mongrel_cholesky,Q,500,0.25949199718703
