model,ESS,burnin_runtime,sample_runtime,Timer_HessianCalculation,Timer_LaplaceApproximation,Timer_Optimization,Timer_Overall,Timer_Uncollapse_Overall.Overall,sweep_param,sweep_value,total_iter,burnin_iter,percent_zero,lambda_MSE,percent_outside_95CI,random_seed
conjugate_linear_model,2000,0,0.506948232650757,0,0,0,0,0,N,750,2000,0,0.0747555555555556,0.0316193869151012,0.724137931034483,3
conjugate_linear_model,2000,0,0.487765073776245,0,0,0,0,0,N,1000,2000,0,0.117166666666667,0.0507789787322257,0.83448275862069,1
conjugate_linear_model,2000,0,0.604708671569824,0,0,0,0,0,N,1000,2000,0,0.1126,0.0483277692793278,0.779310344827586,2
conjugate_linear_model,2000,0,0.503596067428589,0,0,0,0,0,N,1000,2000,0,0.1003,0.045873435876942,0.827586206896552,3
stan_uncollapsed,2000,6.03,4.41,0,0,0,0,0,D,3,4000,2000,0,0.00397161570853968,0.1,1
stan_uncollapsed,2000,4.95,1.83,0,0,0,0,0,D,3,4000,2000,0.01,0.00501556935290725,0,2
stan_uncollapsed,2000,11.91,9.14,0,0,0,0,0,D,3,4000,2000,0,0.00582047346452979,0,3
stan_uncollapsed,2000,8.6,5.43,0,0,0,0,0,D,5,4000,2000,0.008,0.00234989553414212,0,1
stan_uncollapsed,1959.51504389832,8.04,5.24,0,0,0,0,0,D,5,4000,2000,0.022,0.00574066771684145,0.05,2
stan_uncollapsed,2000,14.03,12.5,0,0,0,0,0,D,5,4000,2000,0.02,0.00228160884156434,0,3
stan_uncollapsed,1294.72426472507,38.13,49.11,0,0,0,0,0,D,10,4000,2000,0.023,0.00419512865048762,0,1
stan_uncollapsed,1947.63199215635,30.71,26.71,0,0,0,0,0,D,10,4000,2000,0.031,0.00347621403866423,0,2
stan_uncollapsed,2000,40.7,39.46,0,0,0,0,0,D,10,4000,2000,0.026,0.0039507665906905,0,3
stan_uncollapsed,418.743808524923,356.36,162.75,0,0,0,0,0,D,25,4000,2000,0.1296,0.00879232697730624,0.075,1
stan_uncollapsed,607.784491215922,303.57,156.44,0,0,0,0,0,D,25,4000,2000,0.094,0.00584179652906602,0.0416666666666667,2
stan_uncollapsed,631.054412552278,298.15,235.99,0,0,0,0,0,D,25,4000,2000,0.1116,0.00619706716899225,0.05,3
